time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;AuxLoad_Xfmr_transformer_terminal1_V_re;AuxLoad_Xfmr_transformer_terminal1_V_im;AuxLoad_Xfmr_transformer_terminal1_i_re;AuxLoad_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_tap_value;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_ipCmdPu;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_iqCmdPu;Wind_Turbine_WPP_UWPRefPu;Wind_Turbine_WPP_wPPControl2015_qControl_UWPPu;Wind_Turbine_WPP_wPPControl2015_qControl_QWPPu;Wind_Turbine_WPP_omegaRefPu;
78.277482;1.042090;0.052262;1.042090;0.052262;0.009802;-0.004302;1.042090;0.052262;-0.727699;-0.031724;10.000000;0.809060;-0.020630;1.044982;1.043937;0.021536;1.000000;
78.287482;1.042090;0.052262;1.042090;0.052262;0.009802;-0.004302;1.042090;0.052262;-0.727699;-0.031724;10.000000;0.809060;-0.020630;1.044982;1.043937;0.021536;1.000000;
78.297482;1.042090;0.052262;1.042090;0.052262;0.009802;-0.004302;1.042090;0.052262;-0.727699;-0.031724;10.000000;0.809060;-0.020630;1.044982;1.043937;0.021536;1.000000;
78.307482;1.042090;0.052262;1.042090;0.052262;0.009802;-0.004302;1.042090;0.052262;-0.727699;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043937;0.021536;1.000000;
78.317482;1.042090;0.052262;1.042090;0.052262;0.009802;-0.004302;1.042090;0.052262;-0.727699;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043938;0.021536;1.000000;
78.327482;1.042091;0.052262;1.042091;0.052262;0.009802;-0.004302;1.042091;0.052262;-0.727699;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043938;0.021536;1.000000;
78.337482;1.042091;0.052262;1.042091;0.052262;0.009802;-0.004302;1.042091;0.052262;-0.727699;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043938;0.021536;1.000000;
78.347482;1.042091;0.052262;1.042091;0.052262;0.009802;-0.004302;1.042091;0.052262;-0.727699;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043938;0.021536;1.000000;
78.357482;1.042091;0.052262;1.042091;0.052262;0.009802;-0.004302;1.042091;0.052262;-0.727698;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043938;0.021536;1.000000;
78.367482;1.042091;0.052262;1.042091;0.052262;0.009802;-0.004302;1.042091;0.052262;-0.727698;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043939;0.021536;1.000000;
78.377482;1.042091;0.052262;1.042091;0.052262;0.009802;-0.004302;1.042091;0.052262;-0.727698;-0.031724;10.000000;0.809059;-0.020630;1.044982;1.043939;0.021536;1.000000;
78.387482;1.042092;0.052262;1.042092;0.052262;0.009802;-0.004302;1.042092;0.052262;-0.727698;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043939;0.021536;1.000000;
78.397482;1.042092;0.052262;1.042092;0.052262;0.009802;-0.004302;1.042092;0.052262;-0.727698;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043939;0.021536;1.000000;
78.407482;1.042092;0.052262;1.042092;0.052262;0.009802;-0.004302;1.042092;0.052262;-0.727698;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043939;0.021536;1.000000;
78.417482;1.042092;0.052262;1.042092;0.052262;0.009802;-0.004302;1.042092;0.052262;-0.727698;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043939;0.021536;1.000000;
78.427482;1.042092;0.052262;1.042092;0.052262;0.009802;-0.004302;1.042092;0.052262;-0.727698;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043940;0.021536;1.000000;
78.437482;1.042093;0.052262;1.042093;0.052262;0.009802;-0.004302;1.042093;0.052262;-0.727698;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043940;0.021536;1.000000;
78.447482;1.042093;0.052262;1.042093;0.052262;0.009802;-0.004302;1.042093;0.052262;-0.727697;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043940;0.021536;1.000000;
78.457482;1.042093;0.052262;1.042093;0.052262;0.009802;-0.004302;1.042093;0.052262;-0.727697;-0.031724;10.000000;0.809058;-0.020630;1.044982;1.043940;0.021536;1.000000;
78.467482;1.042093;0.052262;1.042093;0.052262;0.009802;-0.004302;1.042093;0.052262;-0.727697;-0.031723;10.000000;0.809057;-0.020630;1.044982;1.043940;0.021536;1.000000;
78.477482;1.042093;0.052262;1.042093;0.052262;0.009802;-0.004302;1.042093;0.052262;-0.727697;-0.031723;10.000000;0.809057;-0.020630;1.044982;1.043941;0.021536;1.000000;
78.487482;1.042093;0.052262;1.042093;0.052262;0.009802;-0.004302;1.042093;0.052262;-0.727697;-0.031723;10.000000;0.809057;-0.020630;1.044982;1.043941;0.021536;1.000000;
78.497482;1.042094;0.052262;1.042094;0.052262;0.009802;-0.004302;1.042094;0.052262;-0.727697;-0.031723;10.000000;0.809057;-0.020630;1.044982;1.043941;0.021536;1.000000;
78.507482;1.042094;0.052262;1.042094;0.052262;0.009802;-0.004302;1.042094;0.052262;-0.727697;-0.031723;10.000000;0.809057;-0.020630;1.044982;1.043941;0.021536;1.000000;
78.517482;1.042094;0.052262;1.042094;0.052262;0.009802;-0.004302;1.042094;0.052262;-0.727697;-0.031723;10.000000;0.809057;-0.020630;1.044982;1.043941;0.021536;1.000000;
78.527482;1.042094;0.052262;1.042094;0.052262;0.009802;-0.004302;1.042094;0.052262;-0.727696;-0.031723;10.000000;0.809057;-0.020630;1.044982;1.043941;0.021536;1.000000;
78.537482;1.042094;0.052262;1.042094;0.052262;0.009802;-0.004302;1.042094;0.052262;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043942;0.021536;1.000000;
78.547482;1.042095;0.052261;1.042095;0.052261;0.009802;-0.004302;1.042095;0.052261;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043942;0.021536;1.000000;
78.557482;1.042095;0.052261;1.042095;0.052261;0.009802;-0.004302;1.042095;0.052261;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043942;0.021536;1.000000;
78.567482;1.042095;0.052261;1.042095;0.052261;0.009802;-0.004302;1.042095;0.052261;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043942;0.021536;1.000000;
78.577482;1.042095;0.052261;1.042095;0.052261;0.009802;-0.004302;1.042095;0.052261;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043942;0.021536;1.000000;
78.587482;1.042095;0.052261;1.042095;0.052261;0.009802;-0.004302;1.042095;0.052261;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043943;0.021536;1.000000;
78.597482;1.042095;0.052261;1.042095;0.052261;0.009802;-0.004302;1.042095;0.052261;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043943;0.021536;1.000000;
