time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.337852000;1.053e+00;5.979e-01;-3.195e-03;5.676e-01;-3.033e-03;1.058e+00;1.000e+01;5.834e-01;-1.286e-02;1.051e+00;1.000e+00;5.836e-01;1.000e+00
0.347852000;1.054e+00;5.926e-01;-3.425e-03;5.625e-01;-3.251e-03;1.058e+00;1.000e+01;5.783e-01;-1.250e-02;1.051e+00;1.000e+00;5.785e-01;1.000e+00
0.357852000;1.054e+00;5.874e-01;-3.649e-03;5.575e-01;-3.463e-03;1.058e+00;1.000e+01;5.733e-01;-1.215e-02;1.051e+00;1.000e+00;5.734e-01;1.000e+00
0.367852000;1.054e+00;5.823e-01;-3.865e-03;5.525e-01;-3.667e-03;1.058e+00;1.000e+01;5.684e-01;-1.181e-02;1.051e+00;1.000e+00;5.685e-01;1.000e+00
0.377852000;1.054e+00;5.774e-01;-4.079e-03;5.477e-01;-3.869e-03;1.058e+00;1.000e+01;5.635e-01;-1.148e-02;1.051e+00;1.000e+00;5.637e-01;1.000e+00
0.387852000;1.054e+00;5.725e-01;-4.285e-03;5.430e-01;-4.064e-03;1.058e+00;1.000e+01;5.588e-01;-1.115e-02;1.051e+00;1.000e+00;5.589e-01;1.000e+00
0.397852000;1.055e+00;5.677e-01;-4.486e-03;5.383e-01;-4.254e-03;1.058e+00;1.000e+01;5.542e-01;-1.084e-02;1.051e+00;1.000e+00;5.543e-01;1.000e+00
0.407852000;1.055e+00;5.630e-01;-4.683e-03;5.338e-01;-4.440e-03;1.058e+00;1.000e+01;5.497e-01;-1.054e-02;1.051e+00;1.000e+00;5.498e-01;1.000e+00
0.417852000;1.055e+00;5.584e-01;-4.874e-03;5.294e-01;-4.620e-03;1.058e+00;1.000e+01;5.452e-01;-1.024e-02;1.051e+00;1.000e+00;5.453e-01;1.000e+00
0.427852000;1.055e+00;5.540e-01;-5.058e-03;5.251e-01;-4.794e-03;1.059e+00;1.000e+01;5.409e-01;-9.955e-03;1.051e+00;1.000e+00;5.410e-01;1.000e+00
0.437852000;1.055e+00;5.496e-01;-5.240e-03;5.208e-01;-4.966e-03;1.059e+00;1.000e+01;5.367e-01;-9.678e-03;1.051e+00;1.000e+00;5.368e-01;1.000e+00
0.447852000;1.055e+00;5.454e-01;-5.415e-03;5.167e-01;-5.130e-03;1.059e+00;1.000e+01;5.326e-01;-9.409e-03;1.051e+00;1.000e+00;5.327e-01;1.000e+00
0.457852000;1.056e+00;5.413e-01;-5.583e-03;5.128e-01;-5.289e-03;1.059e+00;1.000e+01;5.286e-01;-9.149e-03;1.051e+00;1.000e+00;5.287e-01;1.000e+00
