time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.001041000;1.048e+00;3.946e-01;-1.795e-03;3.767e-01;-1.714e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-4.000e-06;3.767e-01;1.000e+00
0.001041000;1.048e+00;3.946e-01;-1.786e-03;3.767e-01;-1.705e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;4.000e-06;3.767e-01;1.000e+00
0.001042000;1.048e+00;3.946e-01;-1.677e-03;3.767e-01;-1.601e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.090e-04;3.767e-01;1.000e+00
0.001043000;1.048e+00;3.946e-01;-1.568e-03;3.767e-01;-1.496e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.130e-04;3.767e-01;1.000e+00
0.001045000;1.048e+00;3.946e-01;-1.350e-03;3.767e-01;-1.289e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;4.220e-04;3.767e-01;1.000e+00
0.001049000;1.048e+00;3.947e-01;-9.154e-04;3.767e-01;-8.737e-04;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;8.400e-04;3.767e-01;1.000e+00
0.001057000;1.048e+00;3.947e-01;-4.825e-05;3.767e-01;-4.604e-05;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.672e-03;3.767e-01;1.000e+00
0.001068000;1.048e+00;3.948e-01;1.077e-03;3.767e-01;1.028e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.752e-03;3.767e-01;1.000e+00
0.001069000;1.048e+00;3.948e-01;1.185e-03;3.767e-01;1.131e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.856e-03;3.767e-01;1.000e+00
0.001070000;1.048e+00;3.948e-01;1.293e-03;3.767e-01;1.234e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.959e-03;3.767e-01;1.000e+00
