time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactivePower;BusPDR_BUS_ReactiveCurrent;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent
63.805638;1.0347344193792942;0.8333442800417036;0.8053514340707034;-0.022737275201753514;-0.021974263507302357;10.000796064327403;0.8337977192012258;-0.005994017683265375;0.8056452730655626;0.005791790968631343;1.0347920774957262;0.8056938117052201
63.815638;1.0347333147297635;0.8333440723836828;0.8053511932101017;-0.02273727530544673;-0.021974263286830817;10.000797426873062;0.8337983481267497;-0.005994017856267413;0.8056468742578542;0.0057917978741586044;1.0347924368661696;0.805694448203744
63.825638;1.0347321918776646;0.8333438642359576;0.805351014453027;-0.022737275424903083;-0.02197426306457625;10.000798889339306;0.833798928860452;-0.005994018010227426;0.8056484657994708;0.005791804920605773;1.0347927535491657;0.8056950425599569
63.835638;1.034731049961865;0.8333436586707913;0.8053508962826659;-0.022737275559083402;-0.021974262841706862;10.000800454295538;0.8337994633135912;-0.0059940181458060906;0.8056500426861015;0.005791812097296936;1.0347930258602531;0.8056955941223811
63.845638;1.0347298878355948;0.8333434581976283;0.8053508362887497;-0.02273727570631654;-0.02197426261924934;10.000802110390023;0.8337999526979897;-0.005994018263635638;0.8056516012387526;0.005791819397878113;1.03479325276358;0.8056961024757796
63.855638;1.0347296562680592;0.8333440245264605;0.8053508252759116;-0.022737541843322596;-0.021974499220585645;10.000803835224197;0.83380039793299;-0.005994018364425128;0.8056531403445895;0.005791826817120871;1.0347934341288558;0.805696567462345
63.865638;1.0347284475750604;0.8333438364683013;0.8053508736978882;-0.02273754201006012;-0.02197449900025154;10.000805598538406;0.8338007992812098;-0.0059940184490795455;0.8056546611188954;0.005791834346665672;1.0347935716013172;0.8056969894568828
63.875638;1.0347272116441402;0.8333436535872842;0.8053509730471994;-0.022737542183499673;-0.021974498780577358;10.00080736641139;0.833801155978528;-0.005994018518633041;0.8056561655587849;0.005791841974343787;1.034793668678518;0.8056973694930024
63.885638;1.0347259462043912;0.8333434750977864;0.8053511220432858;-0.022737542362303735;-0.02197449856078949;10.000809106422876;0.8338014668649038;-0.005994018574217583;0.8056576554403022;0.005791849685359745;1.0347937294547789;0.80569770865548
63.895638;1.034724649803991;0.833343300590601;0.8053513202835424;-0.022737542545505075;-0.021974498340037677;10.00081079096323;0.8338017309105263;-0.005994018617268761;0.8056591319980116;0.005791857464263215;1.0347937574173511;0.8056980073859231
63.905638;1.0347233216991212;0.8333431295445861;0.8053515678864628;-0.022737542732121675;-0.021974498117647852;10.000812395929522;0.8338019469702109;-0.0059940186497728035;0.8056605962125788;0.005791865294327597;1.034793755039123;0.8056982655305213
63.915638;1.0347219612485483;0.8333429608096737;0.8053518652705914;-0.02273754292099405;-0.021974497893252343;10.000813896171342;0.8338021139154228;-0.005994018674222073;0.8056620494461915;0.005791873153908755;1.0347937239727567;0.8056984827445876
63.925638;1.0347205677028266;0.8333427927049273;0.8053522128652061;-0.022737543110789994;-0.021974497666807133;10.000815261550843;0.8338022314381098;-0.005994018693139673;0.805663493695686;0.005791881016992052;1.0347936657336994;0.805698658825682
63.935638;1.0347191405947473;0.8333426231998153;0.8053526104634938;-0.02273754329999286;-0.021974497438481663;10.000816452348614;0.8338023004988581;-0.0059940187084693165;0.8056649310619696;0.005791888858601924;1.0347935822512824;0.8056987940425954
63.945638;1.0347176794345783;0.833342449608069;0.8053530569321617;-0.022737543486964527;-0.021974497208481086;10.00081741405768;0.83380232306939;-0.00599401872130419;0.8056663632274578;0.005791896659727724;1.034793475921645;0.8056988891223236
63.955638;1.0347161826161835;0.8333422685591915;0.8053535506068298;-0.022737543670099555;-0.021974496976922015;10.000818076305011;0.8338023012583279;-0.005994018732114452;0.805667791145624;0.005791904411439172;1.0347933497185506;0.8056989447486619
63.965638;1.0347146467884318;0.8333420767921412;0.8053540896437049;-0.022737543847813367;-0.021974496743722753;10.000818357073923;0.8338022361251917;-0.005994018741148401;0.8056692145817614;0.005791912116832968;1.0347932072941137;0.8056989612191261
63.975638;1.0347130670547697;0.8333418721115861;0.8053546719587613;-0.022737544018459486;-0.021974496508553907;10.00081817560754;0.8338021271302787;-0.005994018748507012;0.8056706318642545;0.005791919788000004;1.0347930526188776;0.8056989388248746
63.985638;1.034711437683722;0.8333416538100832;0.8053552950068648;-0.022737544180425503;-0.02197449627104749;10.000817471283112;0.8338019723052151;-0.005994018753895083;0.8056720402067707;0.00579192743992321;1.0347928893249008;0.8056988784545404
63.995638;1.0347097534022098;0.83334142259775;0.8053559557036135;-0.02273754433218789;-0.02197449603111823;10.000816210141592;0.8338017685351496;-0.005994018756577218;0.8056734364353817;0.005791935085746787;1.0347927203053953;0.8056987811616081
