time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.690480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.700480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.710480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.720480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.730480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.740480000;1.051e+00;7.498e-01;-4.454e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.750480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.760480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.770480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.780480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.790480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.800480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.810480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.238e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.820480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.830480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.840480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.850480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.860480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.870480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.880480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.890480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.900480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.910480000;1.051e+00;7.498e-01;-4.453e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
