time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.363701000;1.052e+00;7.387e-01;3.124e-05;7.023e-01;2.970e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.373701000;1.052e+00;7.387e-01;3.893e-05;7.023e-01;3.702e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.383701000;1.052e+00;7.387e-01;4.648e-05;7.023e-01;4.419e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.393701000;1.052e+00;7.387e-01;5.447e-05;7.023e-01;5.179e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.403701000;1.052e+00;7.387e-01;6.192e-05;7.023e-01;5.887e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.413701000;1.052e+00;7.387e-01;6.946e-05;7.023e-01;6.604e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.423701000;1.052e+00;7.387e-01;7.814e-05;7.023e-01;7.430e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.433701000;1.052e+00;7.387e-01;8.698e-05;7.023e-01;8.269e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.443701000;1.052e+00;7.387e-01;9.452e-05;7.023e-01;8.987e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.453701000;1.052e+00;7.387e-01;1.032e-04;7.023e-01;9.812e-05;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.463701000;1.052e+00;7.387e-01;1.119e-04;7.023e-01;1.064e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.473701000;1.052e+00;7.387e-01;1.203e-04;7.023e-01;1.144e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.483701000;1.052e+00;7.387e-01;1.290e-04;7.023e-01;1.227e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.493701000;1.052e+00;7.387e-01;1.377e-04;7.023e-01;1.309e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.503701000;1.052e+00;7.387e-01;1.464e-04;7.023e-01;1.392e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.513701000;1.052e+00;7.387e-01;1.551e-04;7.023e-01;1.474e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.523701000;1.052e+00;7.387e-01;1.637e-04;7.023e-01;1.557e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.533701000;1.052e+00;7.387e-01;1.736e-04;7.023e-01;1.650e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.543701000;1.052e+00;7.387e-01;1.823e-04;7.023e-01;1.733e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.553701000;1.052e+00;7.387e-01;1.909e-04;7.023e-01;1.815e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.563701000;1.052e+00;7.387e-01;2.008e-04;7.023e-01;1.909e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.573701000;1.052e+00;7.387e-01;2.095e-04;7.023e-01;1.991e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.583701000;1.052e+00;7.387e-01;2.193e-04;7.023e-01;2.085e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.593701000;1.052e+00;7.387e-01;2.280e-04;7.023e-01;2.167e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
