Time (s);P PCC (pu);P lower (pu);P upper (pu)
5.268e-01;-6.912e-02;-1.383e-01;1.078e-01
5.285e-01;-6.870e-02;-1.379e-01;1.071e-01
5.302e-01;-6.828e-02;-1.375e-01;1.065e-01
5.318e-01;-6.785e-02;-1.371e-01;1.059e-01
5.335e-01;-6.743e-02;-1.367e-01;1.053e-01
5.352e-01;-6.700e-02;-1.362e-01;1.047e-01
5.368e-01;-6.658e-02;-1.358e-01;1.041e-01
5.385e-01;-6.615e-02;-1.354e-01;1.035e-01
5.402e-01;-6.572e-02;-1.349e-01;1.029e-01
5.418e-01;-6.529e-02;-1.345e-01;1.023e-01
5.435e-01;-6.486e-02;-1.340e-01;1.017e-01
5.452e-01;-6.443e-02;-1.336e-01;1.011e-01
5.468e-01;-6.400e-02;-1.331e-01;1.006e-01
5.485e-01;-6.357e-02;-1.326e-01;9.999e-02
5.502e-01;-6.314e-02;-1.322e-01;9.942e-02
5.519e-01;-6.271e-02;-1.317e-01;9.886e-02
5.535e-01;-6.227e-02;-1.312e-01;9.831e-02
5.552e-01;-6.184e-02;-1.307e-01;9.775e-02
5.569e-01;-6.141e-02;-1.302e-01;9.721e-02
5.585e-01;-6.098e-02;-1.297e-01;9.666e-02
5.602e-01;-6.054e-02;-1.292e-01;9.613e-02
5.619e-01;-6.011e-02;-1.287e-01;9.559e-02
5.635e-01;-5.968e-02;-1.282e-01;9.506e-02
5.652e-01;-5.924e-02;-1.277e-01;9.454e-02
5.669e-01;-5.881e-02;-1.272e-01;9.402e-02
5.685e-01;-5.838e-02;-1.267e-01;9.350e-02
5.702e-01;-5.795e-02;-1.261e-01;9.299e-02
5.719e-01;-5.752e-02;-1.256e-01;9.248e-02
5.735e-01;-5.708e-02;-1.251e-01;9.197e-02
5.752e-01;-5.665e-02;-1.246e-01;9.147e-02
5.769e-01;-5.622e-02;-1.240e-01;9.097e-02
5.785e-01;-5.579e-02;-1.235e-01;9.048e-02
5.802e-01;-5.536e-02;-1.229e-01;8.999e-02
5.819e-01;-5.493e-02;-1.224e-01;8.951e-02
5.835e-01;-5.450e-02;-1.218e-01;8.903e-02
5.852e-01;-5.408e-02;-1.213e-01;8.855e-02
5.869e-01;-5.365e-02;-1.207e-01;8.808e-02
5.885e-01;-5.322e-02;-1.202e-01;8.761e-02
5.902e-01;-5.280e-02;-1.196e-01;8.714e-02
5.919e-01;-5.237e-02;-1.190e-01;8.668e-02
5.935e-01;-5.195e-02;-1.185e-01;8.622e-02
5.952e-01;-5.152e-02;-1.179e-01;8.577e-02
5.969e-01;-5.110e-02;-1.173e-01;8.532e-02
5.985e-01;-5.068e-02;-1.168e-01;8.487e-02
6.002e-01;-5.026e-02;-1.162e-01;8.443e-02
6.019e-01;-4.984e-02;-1.156e-01;8.399e-02
6.035e-01;-4.942e-02;-1.150e-01;8.355e-02
6.052e-01;-4.900e-02;-1.145e-01;8.312e-02
6.069e-01;-4.858e-02;-1.139e-01;8.269e-02
6.085e-01;-4.817e-02;-1.133e-01;8.226e-02
6.102e-01;-4.775e-02;-1.127e-01;8.184e-02
6.119e-01;-4.734e-02;-1.121e-01;8.142e-02
6.135e-01;-4.693e-02;-1.115e-01;8.100e-02
